name,company,year,Price,kms_driven,fuel_type
honda city i,honda,2014,675000,90000,Diesel
maruti wagon r,maruti,2013,300000,80000,Petrol
tata indica dls,tata,2005,70000,80000,Diesel
hyundai eon magna,hyundai,2014,240000,73300,Petrol
toyota etios gd,toyota,2014,525000,92000,Diesel
maruti alto lxi,maruti,2009,151000,66764,Petrol
maruti alto lxi,maruti,2009,140000,100000,Petrol
chevrolet tavera neo,chevrolet,2010,280000,350000,Diesel
toyota corolla altis,toyota,2011,350000,230000,Diesel
mahindra scorpio 1.99,mahindra,2017,570000,60000,Diesel
hyundai eon magna,hyundai,2018,300000,31000,Petrol
tata indigo classic,tata,2007,100000,39000,Diesel
toyota innova 2.5,toyota,2009,500000,120000,Diesel
tata indica vista,tata,2014,125000,166000,Diesel
maruti swift 1.3,maruti,2006,130000,110000,Petrol
ford ecosport 1.5,ford,2017,925000,35000,Diesel
maruti ciaz 1.3,maruti,2018,750000,60000,Diesel
honda civic 1.8,honda,2007,200000,54000,Petrol
hyundai i10 sportz,hyundai,2010,248000,63000,Petrol
skoda rapid 1.5,skoda,2014,450000,120000,Diesel
hyundai getz gls,hyundai,2005,80000,120000,Petrol
nissan terrano xl,nissan,2014,650000,76000,Petrol
hyundai grand i10,hyundai,2015,450000,80000,Diesel
hyundai elite i20,hyundai,2019,650000,25000,Diesel
honda amaze s,honda,2016,495000,11958,Petrol
honda brio s,honda,2015,371000,20000,Petrol
hyundai creta 1.6,hyundai,2017,1025000,9000,Petrol
mercedes-benz s-class s,mercedes-benz,2017,8150000,6500,Diesel
mahindra xuv500 w8,mahindra,2015,750000,70000,Diesel
renault duster 85ps,renault,2013,600000,120000,Diesel
hyundai santro xing,hyundai,2007,80000,58000,Petrol
mahindra bolero 2011-2019,mahindra,2013,325000,62200,Diesel
audi a6 2.0,audi,2014,1470000,34000,Diesel
fiat avventura multijet,fiat,2015,350000,53000,Diesel
audi a8 4.2,audi,2013,2800000,49000,Diesel
datsun redigo 1.0,datsun,2017,210000,15000,Petrol
volkswagen jetta 1.4,volkswagen,2013,450000,50000,Petrol
audi a4 2.0,audi,2013,1150000,53000,Diesel
honda civic 1.8,honda,2009,210000,63500,Petrol
mercedes-benz e-class exclusive,mercedes-benz,2018,4500000,9800,Petrol
bmw x1 sdrive,bmw,2017,2750000,13000,Diesel
volvo v40 d3,volvo,2018,1975000,21000,Diesel
maruti sx4 zxi,maruti,2008,175000,29173,Petrol
bmw 7 series,bmw,2012,2500000,48000,Diesel
mahindra bolero power,mahindra,2017,628000,120000,Diesel
hyundai sonata crdi,hyundai,2010,600000,100000,Diesel
nissan micra active,nissan,2017,399000,30000,Petrol
mahindra xylo d4,mahindra,2018,750000,87000,Diesel
hyundai elite i20,hyundai,2019,750000,15000,Petrol
renault kwid rxt,renault,2017,315000,16000,Petrol
mahindra xylo e4,mahindra,2012,600000,60000,Diesel
maruti wagon r,maruti,2010,100000,60000,Petrol
maruti sx4 zxi,maruti,2011,250000,110000,Petrol
renault kwid rxt,renault,2017,350000,25000,Petrol
hyundai creta 1.4,hyundai,2016,780000,60000,Diesel
maruti swift dzire,maruti,2014,434000,79350,Diesel
hyundai verna 1.6,hyundai,2016,690000,80000,Petrol
mahindra scorpio lx,mahindra,2014,555000,90000,Diesel
maruti sx4 vxi,maruti,2007,120000,90000,Petrol
maruti ertiga vdi,maruti,2014,500000,120000,Diesel
chevrolet beat diesel,chevrolet,2013,165000,60000,Diesel
maruti zen lx,maruti,2004,95000,50000,Petrol
maruti baleno delta,maruti,2018,550000,20000,Petrol
maruti swift vdi,maruti,2007,100000,110000,Diesel
tata nano lx,tata,2012,100000,50000,Petrol
toyota innova 2.5,toyota,2012,500000,100000,Diesel
maruti ertiga shvs,maruti,2016,800000,70000,Diesel
hyundai creta 1.6,hyundai,2016,840000,70000,Diesel
honda amaze s,honda,2016,490000,50000,Petrol
tata indica vista,tata,2010,125000,81000,Diesel
chevrolet tavera neo,chevrolet,2012,400000,120000,Diesel
chevrolet cruze ltz,chevrolet,2015,1000000,3600,Diesel
ford figo aspire,ford,2015,530000,14272,Petrol
ford ecosport 1.5,ford,2017,840000,49213,Diesel
hyundai i10 sportz,hyundai,2015,229999,40000,Petrol
maruti 800 std,maruti,1998,40000,40000,Petrol
chevrolet spark 1.0,chevrolet,2012,130000,80000,Petrol
hyundai eon era,hyundai,2015,200000,70000,Petrol
tata indica vista,tata,2011,120000,70000,Diesel
hyundai santro lp,hyundai,2003,75000,57000,Petrol
tata bolt quadrajet,tata,2016,250000,120000,Diesel
maruti 800 ac,maruti,2005,100000,30000,Petrol
hyundai eon era,hyundai,2013,280000,3240,Petrol
hyundai i20 magna,hyundai,2015,540000,5000,Petrol
hyundai i20 1.2,hyundai,2018,700000,10000,Petrol
maruti ciaz vdi,maruti,2015,525000,100000,Diesel
hyundai i20 asta,hyundai,2016,430000,80000,Diesel
hyundai santro le,hyundai,2002,65000,70000,Petrol
maruti vitara brezza,maruti,2018,800000,35000,Diesel
hyundai santro xing,hyundai,2007,75000,114000,Petrol
hyundai getz 1.3,hyundai,2008,210000,53772,Petrol
mahindra quanto c8,mahindra,2012,195000,140000,Diesel
chevrolet tavera neo,chevrolet,2015,400000,120000,Diesel
hyundai eon magna,hyundai,2012,170000,60000,Petrol
renault kwid rxt,renault,2016,225000,25000,Petrol
maruti wagon r,maruti,2014,210000,90000,LPG
maruti wagon r,maruti,2020,240000,120000,Petrol
chevrolet enjoy 1.3,chevrolet,2015,300000,175000,Diesel
chevrolet spark 1.0,chevrolet,2011,99000,100000,Petrol
honda city i,honda,2014,620000,36000,Petrol
honda amaze vx,honda,2013,500000,30000,Diesel
jaguar xj 5.0,jaguar,2010,2550000,40000,Petrol
honda brio e,honda,2013,260000,70000,Petrol
maruti swift vvt,maruti,2017,550000,60000,Petrol
tata indigo cr4,tata,2011,150000,155500,Diesel
hyundai i10 asta,hyundai,2011,350000,50000,Petrol
chevrolet beat lt,chevrolet,2016,320000,40000,Petrol
maruti swift vdi,maruti,2015,400000,100000,Diesel
maruti alto lxi,maruti,2012,175000,80000,Petrol
chevrolet beat lt,chevrolet,2011,120000,90000,Petrol
renault duster 110ps,renault,2013,320000,90000,Diesel
hyundai santro xing,hyundai,2006,70000,110000,Petrol
maruti swift dzire,maruti,2019,810000,15000,Petrol
maruti 800 ac,maruti,2007,95000,100000,Petrol
maruti alto k10,maruti,2020,282000,40000,CNG
maruti 800 std,maruti,2004,80000,60000,Petrol
tata nano lx,tata,2013,72000,25000,Petrol
hyundai i20 magna,hyundai,2016,600000,25000,Petrol
skoda rapid 1.6,skoda,2015,640000,23000,Petrol
maruti alto k10,maruti,2018,380000,22155,Petrol
maruti ciaz 1.4,maruti,2018,650000,70000,Petrol
maruti alto lx,maruti,2009,150000,60000,Petrol
hyundai i20 asta,hyundai,2009,280000,110000,Petrol
tata nexon 1.2,tata,2018,430000,30000,Petrol
mahindra bolero power,mahindra,2019,800000,15000,Diesel
maruti zen d,maruti,2003,75000,100000,Diesel
volkswagen vento celeste,volkswagen,2016,650000,70000,Diesel
maruti eeco 7,maruti,2017,390000,24000,Petrol
honda city 1.5,honda,2005,100000,120000,Petrol
mercedes-benz new c-class,mercedes-benz,2013,1500000,35000,Diesel
maruti sx4 zxi,maruti,2007,175000,78380,Petrol
renault duster 110ps,renault,2012,434999,110000,Diesel
ford figo diesel,ford,2010,170000,90000,Diesel
ford figo diesel,ford,2011,190000,90000,Diesel
maruti swift dzire,maruti,2009,250000,150000,Diesel
mahindra xylo e4,mahindra,2009,229999,230000,Diesel
maruti esteem vxi,maruti,2006,140000,70000,Petrol
maruti swift vdi,maruti,2017,600000,80362,Diesel
hyundai i20 1.2,hyundai,2012,280000,110000,Petrol
chevrolet beat diesel,chevrolet,2012,150000,60000,Diesel
chevrolet cruze ltz,chevrolet,2015,650000,50000,Diesel
nissan micra xl,nissan,2014,210000,40000,Petrol
bmw 5 series,bmw,2017,2900000,40000,Diesel
chevrolet enjoy 1.3,chevrolet,2013,425000,20000,Diesel
hyundai eon era,hyundai,2014,265000,55000,Petrol
fiat linea t,fiat,2018,890000,1136,Petrol
renault scala rxl,renault,2013,365000,55000,Petrol
ford figo petrol,ford,2014,350000,43000,Petrol
maruti ciaz zdi,maruti,2016,685000,60000,Diesel
skoda rapid 1.5,skoda,2018,940000,2650,Diesel
mahindra xuv500 w6,mahindra,2017,1000000,40000,Diesel
mahindra xuv300 w8,mahindra,2019,1150000,15000,Petrol
maruti ertiga shvs,maruti,2016,450000,115962,Diesel
nissan terrano xe,nissan,2015,590000,65000,Diesel
maruti s-cross facelift,maruti,2017,800000,40000,Diesel
hyundai i20 magna,hyundai,2012,385000,58000,Diesel
mercedes-benz new c-class,mercedes-benz,2013,2000000,15000,Diesel
hyundai eon era,hyundai,2012,235000,54000,Petrol
volkswagen ameo 1.5,volkswagen,2017,640000,56000,Diesel
maruti alto lx,maruti,2006,52000,120000,Petrol
maruti omni lpg,maruti,2009,80000,90000,LPG
maruti alto lx,maruti,2012,140000,70000,Petrol
hyundai verna i,hyundai,2008,120000,90000,Petrol
mahindra renault logan,mahindra,2008,89999,213000,Diesel
chevrolet optra magnum,chevrolet,2012,180000,120000,Diesel
mahindra scorpio s11,mahindra,2017,1500000,20000,Diesel
hyundai i20 active,hyundai,2017,700000,10000,Petrol
maruti sx4 celebration,maruti,2012,285000,80000,Diesel
hyundai grand i10,hyundai,2015,390000,90000,Petrol
maruti alto lxi,maruti,2008,125000,80000,Petrol
maruti sx4 zxi,maruti,2008,225000,60000,Petrol
hyundai i10 era,hyundai,2011,175000,139000,Petrol
toyota innova 2.5,toyota,2011,1075000,160000,Diesel
honda mobilio v,honda,2014,300000,150000,Diesel
toyota innova 2.5,toyota,2010,700000,163000,Diesel
tata indica v2,tata,2009,90000,120000,Diesel
tata indica vista,tata,2011,120000,120000,Diesel
chevrolet beat diesel,chevrolet,2012,220000,100000,Diesel
tata zest quadrajet,tata,2015,300000,140000,Diesel
skoda fabia 1.2l,skoda,2010,180000,87000,Diesel
maruti 800 std,maruti,2013,170000,70000,Petrol
ford figo petrol,ford,2015,300000,50000,Petrol
toyota innova 2.5,toyota,2014,1050000,70000,Diesel
honda mobilio v,honda,2014,300000,150000,Diesel
hyundai grand i10,hyundai,2018,465000,25000,Diesel
chevrolet beat diesel,chevrolet,2011,130000,80000,Diesel
datsun go plus,datsun,2018,434999,10000,Petrol
hyundai grand i10,hyundai,2018,500000,32000,Petrol
maruti omni mpi,maruti,2018,200000,10000,Petrol
maruti baleno alpha,maruti,2017,625000,52000,Petrol
ford fiesta classic,ford,2006,110000,120000,Diesel
hyundai elite i20,hyundai,2019,800000,11240,Petrol
hyundai grand i10,hyundai,2017,490000,66000,Diesel
maruti ertiga shvs,maruti,2017,880000,64000,Diesel
hyundai santro xing,hyundai,2013,290000,49000,Petrol
tata sumo gx,tata,2006,115999,100000,Diesel
renault kwid rxt,renault,2018,360000,26500,Petrol
maruti 800 ac,maruti,2002,65000,100000,Petrol
maruti vitara brezza,maruti,2017,685000,72000,Diesel
honda jazz s,honda,2009,300000,50000,Petrol
hyundai i20 1.4,hyundai,2017,680000,44000,Diesel
maruti ertiga shvs,maruti,2017,1000000,60000,Diesel
tata sumo se,tata,2002,100000,120000,Diesel
mahindra xylo e4,mahindra,2010,160000,130000,Diesel
maruti swift zdi,maruti,2017,450000,70000,Diesel
maruti ertiga vxi,maruti,2014,600000,20000,Petrol
hyundai i20 1.4,hyundai,2009,180000,60000,Diesel
maruti alto lxi,maruti,2007,100000,195000,Petrol
maruti alto lxi,maruti,2010,120000,90000,Petrol
hyundai getz gl,hyundai,2006,130000,80000,Petrol
maruti wagon r,maruti,2011,160000,155000,Petrol
mahindra bolero power,mahindra,2019,860000,35000,Diesel
hyundai i20 1.2,hyundai,2018,650000,20000,Petrol
maruti wagon r,maruti,2010,100000,80000,Petrol
maruti alto 800,maruti,2017,282000,20000,Petrol
hyundai i20 asta,hyundai,2009,300000,50000,Petrol
hyundai i20 asta,hyundai,2010,270000,110000,Petrol
hyundai verna 1.6,hyundai,2013,550000,29000,Diesel
mahindra xylo d2,mahindra,2013,450000,120000,Diesel
mahindra bolero slx,mahindra,2011,430000,70000,Diesel
maruti ertiga vxi,maruti,2013,350000,40000,Petrol
honda brio 1.2,honda,2017,350000,20000,Petrol
toyota etios liva,toyota,2013,229999,50000,Petrol
maruti alto 800,maruti,2013,110000,50000,Petrol
maruti swift dzire,maruti,2012,395000,49000,Petrol
mahindra scorpio vls,mahindra,2011,650000,70000,Diesel
mahindra bolero slx,mahindra,2011,350000,90000,Diesel
mahindra xuv500 w11,mahindra,2020,1400000,25000,Diesel
tata tiago 1.2,tata,2018,360000,4000,Petrol
mahindra marazzo m8,mahindra,2018,1300000,10000,Diesel
renault duster 110ps,renault,2015,800000,15000,Diesel
hyundai eon magna,hyundai,2018,229999,30000,Petrol
maruti wagon r,maruti,2014,315000,41000,Petrol
chevrolet spark 1.0,chevrolet,2012,125000,28000,Petrol
maruti baleno alpha,maruti,2019,700000,16000,Petrol
hyundai eon 1.0,hyundai,2015,160000,70000,Petrol
ford figo aspire,ford,2017,530000,10832,Petrol
ford figo aspire,ford,2018,624000,14681,Diesel
hyundai i10 era,hyundai,2009,250000,50000,Petrol
mahindra bolero slx,mahindra,2016,585000,51000,Diesel
hyundai verna 1.4,hyundai,2015,500000,25000,Petrol
chevrolet sail 1.2,chevrolet,2014,350000,30000,Petrol
honda city i-dtec,honda,2014,495000,80000,Diesel
hyundai grand i10,hyundai,2017,500000,50000,Petrol
mahindra bolero power,mahindra,2015,430000,200000,Diesel
hyundai grand i10,hyundai,2013,345000,44000,Petrol
maruti baleno sigma,maruti,2015,500000,10000,Petrol
tata tiago 1.2,tata,2019,425000,19600,Petrol
maruti wagon r,maruti,2005,80000,40000,Petrol
chevrolet beat diesel,chevrolet,2011,106000,50000,Diesel
maruti a-star vxi,maruti,2009,180000,46730,Petrol
datsun go a,datsun,2015,250000,40000,Petrol
skoda yeti ambition,skoda,2011,350000,80000,Diesel
maruti zen lxi,maruti,2002,60000,80000,Petrol
hyundai verna crdi,hyundai,2018,900000,24000,Diesel
ford aspire titanium,ford,2017,700000,21170,Diesel
bmw 3 series,bmw,2013,2000000,167223,Diesel
maruti ertiga shvs,maruti,2017,1000000,40000,Diesel
bmw x1 sdrive,bmw,2011,1375000,60000,Diesel
toyota innova crysta,toyota,2016,1800000,141440,Diesel
chevrolet tavera neo,chevrolet,2007,160000,120000,Diesel
mitsubishi outlander 2.4,mitsubishi,2012,525000,140000,Petrol
mahindra xuv500 w8,mahindra,2012,850000,212814,Diesel
maruti baleno alpha,maruti,2019,800000,30000,Diesel
ford figo aspire,ford,2017,700000,88635,Diesel
maruti swift dzire,maruti,2018,800000,25000,Diesel
hyundai i20 1.2,hyundai,2017,575000,20000,Petrol
renault duster 110ps,renault,2012,350000,110000,Diesel
maruti swift vdi,maruti,2008,250000,120000,Diesel
ford endeavour titanium,ford,2011,600000,149674,Diesel
mahindra scorpio 2.6,mahindra,2007,370000,100000,Diesel
maruti baleno vxi,maruti,2006,80000,120000,Petrol
tata indica dlx,tata,2003,50000,120000,Diesel
hyundai verna crdi,hyundai,2018,900000,25000,Diesel
maruti wagon r,maruti,2014,300000,35000,Petrol
tata indica lsi,tata,2002,125000,40000,Petrol
maruti swift dzire,maruti,2015,490000,60000,Diesel
toyota etios liva,toyota,2012,300000,50000,Diesel
tata nano std,tata,2013,55000,25000,Petrol
hyundai grand i10,hyundai,2016,350000,25000,Petrol
hyundai grand i10,hyundai,2019,755000,8000,Diesel
maruti ertiga shvs,maruti,2017,720000,60000,Diesel
mahindra bolero slx,mahindra,2006,229999,200000,Diesel
mahindra scorpio s7,mahindra,2018,1100000,20000,Diesel
volkswagen polo petrol,volkswagen,2013,400000,100000,Petrol
hyundai xcent 1.1,hyundai,2015,350000,70000,Diesel
chevrolet beat diesel,chevrolet,2012,159000,68000,Diesel
maruti swift zxi,maruti,2017,550000,38000,Petrol
maruti ritz vdi,maruti,2013,335000,80000,Diesel
tata indigo cs,tata,2014,185000,72000,CNG
maruti eeco 5,maruti,2012,229999,75000,CNG
maruti estilo lxi,maruti,2014,225000,43000,Petrol
maruti swift vxi,maruti,2007,250000,120000,Petrol
tata zest quadrajet,tata,2015,400000,100000,Diesel
maruti swift vdi,maruti,2014,470000,163000,Diesel
maruti alto k10,maruti,2018,300000,25000,Petrol
maruti alto lx,maruti,2011,145000,25000,Petrol
maruti sx4 vxi,maruti,2007,100000,90000,Petrol
mahindra scorpio sle,mahindra,2014,500000,70000,Diesel
hyundai santro xing,hyundai,2010,130000,98000,CNG
chevrolet cruze ltz,chevrolet,2010,240000,81925,Diesel
ford figo diesel,ford,2013,150000,80000,Diesel
renault kwid rxt,renault,2017,270000,40000,Petrol
maruti swift dzire,maruti,2014,400000,90000,Diesel
hyundai eon era,hyundai,2012,200000,46000,Petrol
mahindra xuv500 w6,mahindra,2012,550000,80000,Diesel
renault kwid 1.0,renault,2018,325000,35000,Petrol
skoda rapid 1.5,skoda,2017,860000,82080,Diesel
mahindra xuv500 w8,mahindra,2012,600000,200000,Diesel
chevrolet spark 1.0,chevrolet,2009,125000,70000,Petrol
maruti 800 ac,maruti,2000,60000,40000,Petrol
chevrolet tavera neo,chevrolet,2010,300000,120000,Diesel
ford fiesta 1.6,ford,2007,190000,60000,Petrol
maruti ertiga vdi,maruti,2013,400000,110000,Diesel
tata manza aura,tata,2011,260000,97000,Diesel
maruti swift vvt,maruti,2017,400000,30000,Petrol
hyundai i20 sportz,hyundai,2010,250000,40000,Petrol
hyundai grand i10,hyundai,2019,600000,10000,Petrol
maruti zen estilo,maruti,2010,175000,52047,Petrol
toyota innova 2.5,toyota,2011,450000,200000,Diesel
tata tiago 1.2,tata,2019,350000,15000,Petrol
maruti vitara brezza,maruti,2018,800000,50000,Diesel
maruti swift vxi,maruti,2011,250000,70000,Petrol
maruti swift vxi,maruti,2019,600000,10000,Petrol
maruti swift vdi,maruti,2017,600000,90000,Diesel
maruti alto 800,maruti,2016,130000,40000,Petrol
maruti wagon r,maruti,2006,90000,62009,Petrol
hyundai i20 active,hyundai,2017,595000,33100,Petrol
hyundai eon era,hyundai,2014,190000,40000,Petrol
hyundai santro gls,hyundai,1999,50000,120000,Petrol
maruti wagon r,maruti,2007,95000,80000,Petrol
tata safari storme,tata,2016,1000000,70000,Diesel
mahindra scorpio rev,mahindra,2006,220000,220000,Petrol
mahindra bolero slx,mahindra,2010,400000,50000,Diesel
datsun go plus,datsun,2015,315000,45000,Petrol
toyota fortuner 4x4,toyota,2014,1000000,110000,Diesel
ford ecosport 1.5,ford,2014,500000,49000,Diesel
mahindra xuv500 w11,mahindra,2018,1600000,35000,Diesel
mahindra supro vx,mahindra,2017,500000,160000,Diesel
maruti alto lx,maruti,2007,70000,180000,Petrol
maruti 800 ac,maruti,2007,105000,60000,Petrol
ford endeavour 2.5l,ford,2008,400000,110000,Diesel
maruti wagon r,maruti,2004,80000,60000,Petrol
maruti alto 800,maruti,2016,300000,30000,Petrol
mahindra kuv 100,mahindra,2017,409999,40000,Diesel
maruti swift glam,maruti,2009,250000,70000,Petrol
tata new safari,tata,2010,250000,120000,Diesel
maruti swift dzire,maruti,2012,215000,80000,Diesel
toyota fortuner 4x4,toyota,2015,1400000,120000,Diesel
honda brio 1.2,honda,2018,475000,20000,Petrol
honda brio 1.2,honda,2018,475000,22000,Petrol
chevrolet spark 1.0,chevrolet,2008,75000,35000,Petrol
chevrolet sail hatchback,chevrolet,2013,200000,120000,Diesel
tata tiago nrg,tata,2019,575000,8000,Petrol
maruti ritz vdi,maruti,2011,150000,40000,Diesel
maruti vitara brezza,maruti,2018,850000,10000,Diesel
hyundai santro era,hyundai,2019,350000,30000,Petrol
ford endeavour 2.5l,ford,2011,550000,54000,Diesel
hyundai verna 1.4,hyundai,2017,330000,80577,Petrol
honda city i-dtec,honda,2017,1044999,25000,Diesel
hyundai verna 1.6,hyundai,2011,300000,127500,Diesel
hyundai eon d,hyundai,2015,235000,40903,Petrol
ford figo petrol,ford,2011,120000,60000,Petrol
maruti wagon r,maruti,2004,130000,46000,Petrol
ford endeavour 4x4,ford,2004,275000,22288,Diesel
volkswagen jetta 2.0,volkswagen,2011,270000,180000,Diesel
volkswagen polo 1.5,volkswagen,2015,500000,30000,Diesel
hyundai grand i10,hyundai,2015,400000,61690,Petrol
hyundai i20 asta,hyundai,2015,600000,64484,Petrol
audi q5 2.0,audi,2012,1350000,90000,Diesel
renault duster 85ps,renault,2013,400000,75976,Diesel
ford figo diesel,ford,2011,220000,70000,Diesel
honda brio e,honda,2012,300000,85962,Petrol
maruti omni e,maruti,2018,250000,120000,Petrol
honda mobilio v,honda,2015,600000,120000,Diesel
honda brio s,honda,2012,285000,75000,Petrol
honda accord 2.4,honda,2009,350000,57035,Petrol
mahindra bolero slx,mahindra,2011,170000,70000,Diesel
ford figo 1.2p,ford,2015,229999,45000,Petrol
mahindra xuv500 w6,mahindra,2013,500000,72104,Diesel
tata nano lx,tata,2011,75000,15000,Petrol
hyundai i20 active,hyundai,2016,600000,30000,Petrol
tata indigo ls,tata,2011,220000,80000,Diesel
tata indica vista,tata,2009,150000,164000,Diesel
maruti alto lx,maruti,2006,65000,124439,Petrol
maruti zen vxi,maruti,2006,120000,77000,Petrol
maruti swift dzire,maruti,2014,240000,90000,Diesel
renault kwid 1.0,renault,2017,390000,30000,Petrol
chevrolet beat ls,chevrolet,2012,180000,50000,Petrol
maruti swift vdi,maruti,2012,320000,80000,Diesel
maruti alto 800,maruti,2018,310000,5000,Petrol
maruti wagon r,maruti,2018,420000,24000,Petrol
tata tiago nrg,tata,2019,550000,10000,Petrol
maruti ertiga shvs,maruti,2016,550000,78000,Diesel
mahindra tuv 300,mahindra,2018,760000,50000,Diesel
maruti 800 ac,maruti,2001,43000,100000,Petrol
maruti omni mpi,maruti,2018,250000,20000,Petrol
hyundai santro magna,hyundai,2019,500000,1250,Petrol
tata zest revotron,tata,2015,380000,17152,Petrol
mahindra xuv500 w11,mahindra,2019,1850000,5000,Diesel
volkswagen polo diesel,volkswagen,2012,350000,77000,Diesel
hyundai verna crdi,hyundai,2008,195000,90000,Diesel
chevrolet beat ls,chevrolet,2011,225000,80000,Petrol
toyota innova 2.5,toyota,2015,1125000,65000,Diesel
tata indica vista,tata,2011,133000,80000,Diesel
hyundai eon era,hyundai,2013,200000,24005,Petrol
maruti vitara brezza,maruti,2018,940000,20000,Diesel
renault duster 85ps,renault,2014,400000,120000,Diesel
hyundai i10 era,hyundai,2009,120000,120000,Petrol
maruti swift dzire,maruti,2015,625000,80000,Diesel
maruti swift 1.3,maruti,2005,110000,80000,Petrol
renault duster 110ps,renault,2012,490000,100000,Diesel
maruti alto lx,maruti,2009,140000,120000,Petrol
ford figo diesel,ford,2011,175000,149000,Diesel
maruti wagon r,maruti,2005,90000,65000,Petrol
maruti swift ldi,maruti,2009,275000,100000,Diesel
volkswagen vento diesel,volkswagen,2011,300000,65000,Diesel
datsun go plus,datsun,2018,270000,19000,Petrol
chevrolet beat lt,chevrolet,2010,130000,80000,Petrol
maruti alto k10,maruti,2015,275000,30000,Petrol
maruti swift vdi,maruti,2012,352000,109000,Diesel
hyundai eon lpg,hyundai,2012,180000,90000,LPG
maruti alto lx,maruti,2012,150000,90000,Petrol
volkswagen vento diesel,volkswagen,2011,300000,65000,Diesel
maruti swift vdi,maruti,2010,300000,110000,Diesel
mahindra bolero di,mahindra,2007,225000,120000,Diesel
honda mobilio v,honda,2014,600000,44000,Diesel
maruti ertiga bsiv,maruti,2015,500000,80000,Petrol
honda br-v i-vtec,honda,2018,900000,5000,Petrol
hyundai i20 magna,hyundai,2016,600000,61000,Petrol
toyota etios vd,toyota,2011,450000,100000,Diesel
hyundai i10 era,hyundai,2009,270000,27633,Petrol
maruti swift vdi,maruti,2010,310000,100000,Diesel
hyundai santro xing,hyundai,2012,250000,100000,LPG
ford figo 1.2p,ford,2019,700000,12586,Petrol
fiat avventura urban,fiat,2018,650000,38083,Diesel
ford figo diesel,ford,2012,400000,55328,Diesel
ford figo diesel,ford,2012,425000,81632,Diesel
ford aspire titanium,ford,2016,600000,155201,Diesel
